id;name;last_name;cpf;email;photo;photo_content_type;birth_date;admission_date;creation_date;last_update_date;seniority_id
1;Santa Investidor provident;Braga;Congelado C;Igor_Martins75@hotmail.com;../fake-data/blob/hipster.png;image/png;2023-10-23;2023-10-23;2023-10-23T23:50:38;2023-10-23T22:56:19;1
2;Bebê Futuro;Oliveira;Jogos grená;Pietro17@gmail.com;../fake-data/blob/hipster.png;image/png;2023-10-23;2023-10-24;2023-10-24T01:47:15;2023-10-24T03:49:34;2
3;Agente;Santos;cupiditate ;Kleber_Santos10@hotmail.com;../fake-data/blob/hipster.png;image/png;2023-10-24;2023-10-24;2023-10-23T15:11:35;2023-10-24T12:45:22;3
4;Peixe Masculino Congelado;Reis;TáticasXXXX;Gael.Reis5@gmail.com;../fake-data/blob/hipster.png;image/png;2023-10-23;2023-10-24;2023-10-24T10:09:43;2023-10-23T15:48:33;4
5;Marketing Produtor Aplicações;Xavier;Salgadinhos;Laura_Albuquerque@hotmail.com;../fake-data/blob/hipster.png;image/png;2023-10-24;2023-10-24;2023-10-24T03:00:25;2023-10-24T05:15:48;5
6;Executivo Metal;Barros;Macio Chapé;Arthur.Pereira55@live.com;../fake-data/blob/hipster.png;image/png;2023-10-24;2023-10-24;2023-10-24T11:22:49;2023-10-24T13:31:06;6
7;Alagoas Gana preto;Pereira;Afeganistão;Eduardo_Souza@gmail.com;../fake-data/blob/hipster.png;image/png;2023-10-24;2023-10-24;2023-10-23T16:59:56;2023-10-24T05:00:12;7
8;Malta Coreia;Franco;pretoXXXXXX;Caio99@live.com;../fake-data/blob/hipster.png;image/png;2023-10-23;2023-10-24;2023-10-23T14:24:25;2023-10-23T19:28:44;8
9;Salada Luxemburgo;Silva;Tonga Métri;MariaEduarda_Reis4@gmail.com;../fake-data/blob/hipster.png;image/png;2023-10-23;2023-10-24;2023-10-24T06:16:07;2023-10-24T06:25:20;9
10;repudiandae Sílvia Travessa;Xavier;Masculino G;Maite41@live.com;../fake-data/blob/hipster.png;image/png;2023-10-24;2023-10-24;2023-10-24T00:26:24;2023-10-23T20:10:44;10
